name,calories,protein,carbs,fat,tags
Arroz integral cocido,123,2.7,25.6,1.0,carb;grain;vegan;gluten-free
Pechuga de pollo,165,31.0,0.0,3.6,protein;meat;gluten-free
Hummus,166,8.0,14.0,10.0,protein;legume;vegetarian;vegan;gluten-free
Pasta de lentejas cocida,116,8.0,20.0,0.8,protein;carb;legume;vegan;gluten-free
Tofu firme,76,8.0,2.0,4.8,protein;vegetarian;vegan;gluten-free
Quinoa cocida,120,4.4,21.3,1.9,carb;protein;grain;vegan;gluten-free
Brócoli,35,2.4,7.0,0.4,vegetable;vegan;gluten-free
Espinaca,23,2.9,3.6,0.4,vegetable;vegan;gluten-free
Batata asada,90,2.0,21.0,0.2,carb;vegetable;vegan;gluten-free
Aguacate,160,2.0,9.0,15.0,fat;fruit;vegan;gluten-free
Almendras,579,21.0,22.0,50.0,fat;nuts;protein;vegan;gluten-free
Aceite de oliva,884,0.0,0.0,100.0,fat;vegan;gluten-free
Yogur griego,97,10.0,3.6,4.5,protein;dairy;vegetarian;lactose;gluten-free
Avena integral,389,16.9,66.3,6.9,carb;grain;vegetarian;vegan;gluten
Pan integral,247,12.0,41.0,4.0,carb;grain;vegetarian;vegan;gluten
Huevos,143,13.0,1.1,9.5,protein;animal;vegetarian;gluten-free
Queso cottage,98,11.1,3.4,4.3,protein;dairy;vegetarian;lactose;gluten-free
Frijoles negros cocidos,132,8.9,23.7,0.5,protein;legume;carb;vegan;gluten-free
Salmón,208,20.0,0.0,13.0,protein;fish;gluten-free
Fresas,32,0.7,7.7,0.3,fruit;carb;vegan;gluten-free
Plátano,89,1.1,23.0,0.3,fruit;carb;vegan;gluten-free
Manzana,52,0.3,14.0,0.2,fruit;carb;vegan;gluten-free
Garbanzos cocidos,164,8.9,27.4,2.6,protein;legume;carb;vegan;gluten-free
Edamame,121,11.9,9.9,5.2,protein;legume;vegan;gluten-free
Semillas de chía,486,16.5,42.1,30.7,fat;protein;vegan;gluten-free
Mantequilla de cacahuate,588,25.0,20.0,50.0,fat;nuts;protein;vegan;gluten-free
Pavo magro,135,29.0,0.0,1.0,protein;meat;gluten-free
Requesón bajo en grasa,72,8.1,2.7,2.0,protein;dairy;vegetarian;lactose;gluten-free
Zanahoria,41,0.9,9.6,0.2,vegetable;vegan;gluten-free
Pepino,16,0.7,3.6,0.1,vegetable;vegan;gluten-free
Moras,43,1.4,9.6,0.5,fruit;carb;vegan;gluten-free
Chía hidratada,120,4.0,10.0,7.0,fat;vegan;gluten-free
Atún en agua,132,29.0,0.0,1.3,protein;fish;gluten-free
Lentejas cocidas,116,9.0,20.0,0.4,protein;legume;carb;vegan;gluten-free
Calabacín,17,1.2,3.1,0.3,vegetable;vegan;gluten-free
Frambuesas,52,1.2,12.0,0.6,fruit;carb;vegan;gluten-free
Mango,60,0.8,15.0,0.4,fruit;carb;vegan;gluten-free
Berenjena asada,35,1.4,8.7,0.2,vegetable;vegan;gluten-free
